indice,AG,PSO,TS,viajante
0,0.0,0.0,0.0,0.0
1,0.014,0.015,0.054,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.013,0.016,0.07,0.003
5,0.016,0.018,0.051,0.028
6,0.02,0.019,0.176,0.0
7,0.0,0.0,0.0,0.0
8,0.015,0.015,0.063,0.0
9,0.015,0.017,0.122,0.003
10,0.018,0.02,0.083,0.0
11,0.014,0.019,0.067,0.258
12,0.023,0.025,0.01,0.0
13,0.023,0.017,0.127,0.0
14,0.0,0.0,0.0,0.0
15,0.03,0.034,0.138,0.0
16,0.018,0.021,0.091,0.0
17,0.014,0.019,0.015,0.0
18,0.02,0.023,0.109,0.0
19,0.029,0.036,0.049,0.006
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.039,0.041,0.46,0.0
23,0.038,0.042,0.348,0.0
24,0.023,0.019,0.055,0.446
25,,,,
26,0.0,0.0,0.0,0.0
27,0.026,0.03,0.033,0.046
28,0.026,0.031,0.312,0.0
29,0.025,0.03,0.011,0.0
30,0.0,0.0,0.0,0.0
31,0.041,0.042,0.584,0.0
32,0.037,0.039,0.239,0.0
33,0.025,0.03,0.096,0.006
