indice,AG,PSO,TS,viajante
0,0,0,0,0
1,6.9,6.9,6.9,4.699999999999999
2,0,0,0,0
3,0,0,0,0
4,6.9,6.9,6.9,5.300000000000001
5,3.9000000000000004,3.9000000000000004,3.9000000000000004,2.9000000000000004
6,12.3,11.7,12.3,7.699999999999999
7,0,0,0,0
8,5.699999999999999,5.699999999999999,5.699999999999999,3.5
9,4.199999999999999,4.199999999999999,4.199999999999999,3.1999999999999993
10,1.5,1.5,1.5,-0.6999999999999993
11,8.7,8.7,8.7,7.699999999999999
12,3.3000000000000007,3.3000000000000007,3.3000000000000007,2.3000000000000007
13,5.1,5.1,5.1,4.1
14,0,0,0,0
15,3.5999999999999996,3.5999999999999996,3.5999999999999996,0.8000000000000007
16,6.0,6.0,6.0,2.5999999999999996
17,8.1,8.1,8.1,3.5
18,4.5,4.5,4.5,2.9000000000000004
19,8.7,8.7,8.7,7.699999999999999
20,0,0,0,0
21,0,0,0,0
22,8.4,8.4,8.4,6.8
23,10.8,10.2,10.8,6.2
24,8.1,8.1,8.1,5.300000000000001
25,,,,
26,0,0,0,0
27,11.7,11.7,11.7,8.9
28,6.6,6.6,6.6,3.1999999999999993
29,4.199999999999999,4.199999999999999,4.199999999999999,3.1999999999999993
30,0,0,0,0
31,10.2,8.4,10.2,3.1999999999999993
32,11.7,11.1,11.7,7.1
33,9.6,9.6,9.6,6.8
